generation,pathfinder_fitness,num_food
1,3.400413,0
1,2.972013,0
2,3.168777,0
3,4.205076,0
4,4.207839,0
5,3.689968,0
6,3.839243,0
7,3.914772,0
8,8.947245,0
9,11.217681,0
10,17.096713,0
11,9.300394,0
12,13.439363,0
13,14.691912,0
14,7.441529,0
15,11.928321,0
16,11.247904,0
17,40.727261,0
18,24.549584,0
19,18.430224,0
20,45.078573,0
21,13.315543,0
22,34.922542,0
23,11.530258,0
24,145.222135,0
25,8.428339,0
26,11.393728,0
27,398.984500,0
28,45.751023,0
29,68.265352,0
30,40.229994,0
31,45.810284,0
32,58.230054,0
33,55.989025,0
34,84.473995,0
35,37.785834,0
36,57.613579,0
37,316.479561,0
38,267.177771,0
39,406.918193,0
40,186.897820,0
41,65.424055,0
42,61.287511,0
43,276.198201,0
44,478.968237,0
45,345.555785,0
46,1048.397023,1
47,456.341191,0
48,358.868320,0
49,925.437581,1
50,396.543604,0
51,345.499324,0
52,518.083438,0
53,26.793273,0
54,1085.156669,1
55,352.497797,0
56,161.047072,0
57,145.744362,0
58,46.249981,0
59,898.479623,1
60,129.591966,0
61,418.299177,0
62,489.830919,0
63,53.600708,0
64,88.696301,0
65,54.278244,0
66,128.313753,0
67,526.698197,0
68,473.077970,0
69,629.187737,0
70,800.079994,0
71,975.492767,0
72,569.528648,0
73,657.175717,0
74,912.674801,0
75,88.518443,0
76,756.072447,0
77,70.023365,0
78,537.716212,0
79,41.766145,0
80,753.680121,0
81,810.456452,0
82,825.031390,0
83,808.834732,0
84,412.493812,0
85,384.937124,0
86,564.300374,0
87,207.037894,0
88,518.550640,0
89,376.303225,0
90,757.742288,0
91,646.699319,0
92,526.868416,0
93,75.838537,0
94,650.368966,0
95,591.850255,0
96,187.031561,0
97,686.571887,0
98,690.981141,0
99,597.628314,0
100,733.433917,0
101,735.441815,0
102,678.398272,0
103,737.301646,0
104,849.817511,0
105,564.118901,0
106,145.732176,0
107,557.260989,0
108,832.030696,0
109,707.612808,0
110,579.677453,0
111,597.258566,0
